bathroom,0.004635749160402547
cramps,0.0065805623356487986
diarrhea,0.026883673250013285
effects,0.008168105634214218
gas,0.004186174552641142
nausea,0.011928805796776631
pancreatitis,0.006424227339015265
stomach,0.026256295640350258
tummy,0.004306580108297986
upset,0.005978954651945312
vomiting,0.0048675028335581905
allergic,0.00427694106104809
nauseated,0.0035624910151522693
caused,0.003562558975921448
pounds,0.0040205492872853466
nauseous,0.0030980774818224477
gut,0.0028419838550406418
weeks,0.004268851727698142
hair,0.0028486939720802074
gi,0.0030114253561396853
empty,0.0025149095902293195
effect,0.0029536241446466716
currently,0.0026720044231346995
abdominal,0.0021355481335175175
bowels,0.0021355481335175175
diarrhoea,0.0021355481335175175
rash,0.0021355481335175175
lost,0.0032053671478841084
awful,0.002121513271479858
dose,0.002466811857844309
cramping,0.001843326210520857
gained,0.001843326210520857
